ID,SER
1000,52.4255
1001,76.268
1002,69.3433
1003,76.8422
1004,56.7329
1007,73.1919
1008,77.1313
1009,59.7986
1010,42.6573
1011,72.3722
1012,56.3163
1013,48.2891
1014,70.7382
1015,54.1043
1016,54.5594
1017,76.087
1019,82.9425
1020,52.727
1021,76.1048
1022,65.1222
1023,60.5078
1024,54.6217
1025,45.8103
1026,62.8057
1027,62.0888
1028,62.8701
1029,85.1434
1030,68.1175
1031,66.2965
1032,68.5729
1044,72.7678
1045,66.6125
1046,57.2288
1061,83.7025
1062,90.3702
1063,66.5904
1064,91.3689
1078,39.1009
1079,45.5331
1080,48.9256
1081,66.0906
1082,60.4367
1083,56.5105
1084,59.6735
1085,72.6009
1086,89.3533
1087,60.8349
1088,67.3686
1089,72.1862
1090,73.9508
1091,65.1307
1092,60.1829
1093,76.0454
1094,64.6424
1095,88.2525
1096,67.58
1097,62.0898
1098,68.0189
1099,76.1151
1100,69.7385
1101,127.066
1102,85.74
1103,74.2098
1104,195.766
1105,80.6591
1106,68.131
1107,71.3949
1108,78.458
1109,80.7195
1110,50.9044
1111,67.65
1112,68.1772
1126,117.692
1127,51.0138
1128,102.126
1129,64.48
1130,77.3451
1131,74.1262
1371,78.0485
1372,42.9294
1373,69.3485
1374,38.0418
1449,68.3268
1450,69.1962
1453,58.9935
1455,69.8595
1458,63.694
1459,23.9835
1460,57.3978
1461,34.6713
1462,28.9828
1463,71.2194
1464,70.3497
1465,27.8108
1466,32.8316
1467,65.2318
1468,59.8016
1469,68.1133
1471,28.2131
1473,52.3339
1474,36.9982
1475,71.0795
1477,69.6601
1486,67.9107
1488,138.947
1496,57.1821
1497,50.1556
1498,68.7866
1499,70.8055
1500,49.9213
1501,63.3461
1502,62.4617
1503,75.705
1504,75.2267
1505,33.7704
1506,76.7948
1507,70.709
1508,60.484
1509,73.2434
1510,69.6108
1511,66.2673
1512,61.0192
1513,64.8582
1514,70.6364
1515,62.6647
1516,87.9909
1517,87.5528
1518,64.8473
1519,71.7532
1520,61.6886
1521,68.1874
1522,55.6826
1523,73.2047
1524,40.0694
1525,78.7545
1555,79.7953
1556,79.0526
1561,73.2414
1564,72.9311
1565,73.4978
1584,87.3023
1586,75.946
1589,75.4755
1592,41.5587
1596,53.56
1606,67.2601
1607,66.8289
1608,72.4248
1609,66.634
1612,149.084
1613,82.1362
1617,49.915
1624,38.0418
1700,64.3676
1701,94.3212
1702,62.2368
1703,46.9948
1704,65.1421
1705,75.7379
1706,73.9917
1707,53.2543
1708,66.1286
1709,50.5349
1710,46.4251
1711,53.168
1712,43.0027
1713,52.7816
1714,89.0695
1715,61.1262
1716,55.5481
1717,57.1381
1718,70.5634
1719,73.1533
1720,73.2236
1721,77.349
1722,43.8574
1786,34.2583
1787,58.4635
1788,30.0431
1789,115.942
1790,47.98
1791,73.4637
1860,116.243
1861,61.9449
1862,40.9235
1864,68.0294
1866,54.2691
1886,26.8312
1888,28.2532
1891,40.9876
1894,45.7537
1917,29.3623
2003,28.1972
2020,86.5817
2021,27.4074
2022,44.5572
2068,64.8123
2073,55.352
2074,70.841
2075,62.0658
2076,78.2856
2078,32.9775
2093,30.1848
2094,37.1373
2152,39.8837
2169,57.6956
2177,69.5276
2178,61.911
2191,54.5874
2209,79.5714
2264,52.1647
2273,63.7611
2311,72.3076
2312,32.7234
2313,30.3049
2314,30.3591
2315,32.6773
2340,66.8907
2415,63.525
2416,45.4875
2417,47.1487
2419,63.9169
2423,76.2156
2424,46.2494
2425,87.4412
2427,73.2146
2450,65.6208
2459,34.8145
2460,54.1524
2471,69.3766
2488,68.0641
2489,47.0693
2490,31.3441
2491,72.2318
2495,107.735
2496,54.6025
2497,60.9394
2518,65.4048
2548,66.6729
2555,31.5944
2556,52.0978
2560,55.735
2581,98.27
2582,65.6183
2603,65.3471
2604,66.3682
2607,97.1781
2625,51.4218
2692,84.9805
2706,73.4978
2714,147.209
2764,101.44
2784,65.7048
2799,73.7891
2829,49.3815
2862,78.4945
2863,71.1914
2878,78.6337
2886,31.262
2888,29.2693
2897,50.5604
2898,52.5811
2899,51.7834
2919,74.1201
2920,67.8923
2921,90.8901
2934,27.4824
2975,28.3635
2976,28.1387
3000,54.3689
3001,88.2517
3049,72.6642
3091,75.7411
3092,82.7351
3103,48.3799
3125,134.677
3220,38.5368
3317,58.8301
3319,32.9138
3361,22.925
3362,53.0726
3364,68.0791
3365,73.5851
3370,60.2765
3389,58.0936
3395,31.3989
3423,103.738
3442,63.0555
3454,68.2309
3455,63.0396
3456,61.3184
3458,59.9699
3486,23.1317
3487,41.5874
3489,25.5671
3599,53.4051
3625,57.1267
3626,44.8659
3627,30.2749
3628,51.7156
3629,75.4479
3630,82.5517
3631,101.177
3632,85.9654
3633,97.7266
4028,52.4911
4130,71.7085
4131,103.202
4132,57.1954
4133,161.787
4134,63.7084
4141,77.047
4575,48.4232
4679,14.9203
4680,18.4542
4681,17.0196
4682,18.674
4683,28.8126
4684,27.5514
4686,17.8293
4687,16.7613
4760,65.2062
4762,44.7503
4763,44.7503
4764,32.5634
4765,72.4472
4766,49.7525
4785,72.4472
4857,72.4472
4858,72.4472
4859,32.5634
4860,44.7503
4861,65.2062
4864,44.7503
4865,32.5634
4866,72.4472
4867,72.4472
4869,65.2062
4965,34.8145
5059,26.8312
5079,33.7704
5115,30.3591
5120,34.5478
5154,41.5587
5180,30.0431
5204,55.5481
5207,32.9138
5230,53.0548
5231,43.8574
5242,54.6025
5254,42.6885
5260,68.0641
5261,50.0553
5263,31.3989
5264,28.2532
5266,67.3686
5274,50.1601
5285,77.349
5296,69.5276
5305,40.9876
5310,54.1043
5312,71.1914
5314,54.5594
5315,90.8901
5316,70.5634
5317,83.7025
5318,72.1862
5320,147.209
5327,54.1524
5335,56.79
5336,51.0138
5340,55.735
5343,44.5572
5346,65.7048
5349,55.9627
5351,78.458
5352,30.1743
5354,79.7953
5357,29.2798
5358,42.9364
5362,76.268
5363,49.9213
5364,69.8595
5366,50.1433
5368,89.3533
5369,65.2107
5373,80.7195
5374,45.7537
5377,103.738
5378,134.677
5384,56.6747
5390,87.4412
5393,69.1962
5396,72.7678
5398,53.9724
5400,90.3702
5407,115.942
5413,71.7532
5414,62.0888
5421,67.9107
5437,85.9746
5460,85.4048
5461,67.9107
5505,63.4129
5506,53.0218
5507,28.8
5508,40.4169
5509,32.9009
5512,848.958
5513,848.958
5514,848.958
5517,72.4472
5518,72.4472
5519,32.5634
5520,44.7503
5521,65.2062
5558,17.3942
5593,50.0553
5601,30.1329
5610,87.4412
5626,33.7704
5634,42.9364
5636,55.9627
5638,79.7953
5642,90.8901
5645,40.9876
5646,71.1914
5647,70.5634
5651,147.209
5687,63.0555
580,56.6747
581,51.966
582,56.79
583,50.0553
584,62.7502
5840,44.3989
585,27.8068
586,39.4742
587,32.5855
588,36.5533
589,54.2865
590,42.3707
591,50.1433
592,53.0548
593,50.1402
594,54.7405
595,30.7868
5955,17.3942
596,45.0413
597,58.2585
598,31.8209
5987,27.2254
599,48.73
600,39.8343
601,55.1164
602,37.9768
603,50.572
606,34.5478
607,43.9528
608,51.2968
609,50.2804
610,63.6534
611,65.2107
612,31.029
613,40.4199
614,56.3428
615,53.0361
616,51.9846
617,32.106
6178,44.149
618,35.4017
6180,33.0114
6181,33.0114
6185,28.1387
6187,52.727
619,70.1473
620,56.2711
6206,13.9624
6207,13.9624
621,53.9724
622,48.3922
623,50.1601
624,49.7916
625,42.2648
626,81.1858
627,60.5833
628,60.1474
629,27.0728
630,42.6885
631,58.3111
632,37.2212
633,108.931
634,45.8524
635,55.8012
636,59.8231
637,42.9364
638,84.6624
639,30.96
640,55.9627
840,37.3846
841,29.2798
984,67.552
985,74.3821
