id,sbem_building_type_id,sbem_activity_id,activity_name,activity_type,activity_class,activity_description,br_light_check,light_lux,display_lighting,br_check_one,hepa_filter,hepa_enabled,valley_gutter,occupancy,hot_water_demand,fresh_air_rate,occ_24,occ_01,occ_02,occ_03,occ_04,occ_05,occ_06,occ_07,occ_08,occ_09,occ_10,occ_11,occ_12,occ_13,occ_14,occ_15,occ_16,occ_17,occ_18,occ_19,occ_20,occ_21,occ_22,occ_23,heat_set_point,work_plane,old_name,old_id,cool_set_point,metabolic_rate,equipment_gains
930,42,1212,Food preparation area,D1_Edu_FoodPrep,Indoor,"An area where food is prepared , e.g. canteen kitchen",FALSE,500,FALSE,FALSE,FALSE,TRUE,FALSE,0.18,0.28,25,0,0,0,0,0,0,0,0,0,0,0.25,0.25,1,1,0.75,0.25,0,0,0,0,0,0,0,0,20,,,,24,130,25
933,42,1213,Hall/lecture theatre/assembly area,D1_Edu_Lecture,Indoor,An area which can accommodate a large number of seated people.,FALSE,300,FALSE,TRUE,FALSE,TRUE,FALSE,0.22,0.11,10,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
931,42,1214,Computer lab,D1_Edu_HighDensIT,Indoor,High density desk based work space with correspondinly dense IT.,FALSE,300,FALSE,TRUE,FALSE,TRUE,FALSE,0.22,0.44,10,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
932,42,1215,Laboratory,D1_Edu_Lab,Indoor,"A facility that provides controlled conditions in which scientific research, experiments, and measurement may be performed.",FALSE,800,FALSE,TRUE,FALSE,TRUE,FALSE,0.21,0,12,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
935,42,1216,Light plant room,D1_Edu_Plant,Indoor,Areas containing the main HVAC equipment for the building eg: boilers/air conditioning plant.,FALSE,200,FALSE,TRUE,FALSE,TRUE,FALSE,0.11,0,10,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,20,,,,24,130,25
936,42,1217,Reception,D1_Edu_Reception,Indoor,The area in a building which is used for entry from the outside or other building storeys.,FALSE,200,TRUE,FALSE,FALSE,TRUE,FALSE,0.12,0.09,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,20,,,,24,130,25
938,42,1219,Swimming pool,D1_Edu_Swim,Indoor,The area in which a swimming pool is contained. This activity should be used for the whole pool hall.,FALSE,300,FALSE,FALSE,FALSE,TRUE,FALSE,0.15,0,15,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,20,,,,24,130,25
940,42,1220,Toilet,D1_Edu_Toilet,Toilets,Any toilet areas. If toilets are subsidiary to changing/shower activities use Changing facilities with showers.,FALSE,200,FALSE,FALSE,FALSE,TRUE,FALSE,0.11,0,12,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
939,42,1222,Teaching Areas,D1_Edu_Teaching,Indoor,Teaching areas which include classrooms and corridors providing access to and between classrooms.,FALSE,280,FALSE,TRUE,FALSE,TRUE,FALSE,0.55,0.89,5.5,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
885,44,1252,Store Room,C2_Schools_Store,Indoor,Areas for un-chilled goods storage with low transient occupancy.,FALSE,50,FALSE,TRUE,FALSE,TRUE,FALSE,0.12,0,10,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,20,,,,24,130,25
934,42,1223,Office and consulting areas,D1_Edu_Office,Indoor,"Areas to perform management, office and administration work separated from standard customer/public areas. It can include internal corridors providing access to the office spaces, tea making facilities or kitchennetes within the office space and staff lou",FALSE,400,FALSE,TRUE,FALSE,TRUE,FALSE,0.1,0.2,10,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
1052,43,1224,Cell (police/prison),Prison_Cell,Indoor,A room which accommodates one or more residents/inmates.,FALSE,100,FALSE,FALSE,FALSE,TRUE,TRUE,0.19,6.96,10,1,1,1,1,1,1,1,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.5,1,1,20,,,,24,130,25
1054,43,1226,Circulation area (corridors and stairways),Prison_Circulation,Indoor,For all circulation areas such as corridors and stairways.,FALSE,100,FALSE,FALSE,FALSE,TRUE,TRUE,0.11,0,10,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0,0,0,0,20,,,,24,130,25
1066,43,1227,Toilet,Prison_Toilet,Toilets,Any toilet areas. If toilets are subsidiary to changing/shower activities use Changing facilities with showers.,FALSE,200,FALSE,FALSE,FALSE,TRUE,TRUE,0.11,0,12,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0,20,,,,24,130,25
1064,43,1228,Reception,Prison_Reception,Indoor,The area in a building which is used for entry from the outside or other building storeys. It also includes waiting areas.,FALSE,200,TRUE,FALSE,FALSE,TRUE,TRUE,0.12,0.12,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,20,,,,24,130,25
1056,43,1229,Dry sports hall,Prison_DrySptHall,Warehouse,An area where indoor sports can be played.,FALSE,300,FALSE,FALSE,FALSE,TRUE,TRUE,0.05,0,10,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,20,,,,24,130,25
1061,43,1231,Hall/lecture theatre/assembly area,Prison_Lecture,Indoor,An area which can accommodate a large number of seated people.,FALSE,300,FALSE,TRUE,FALSE,TRUE,TRUE,0.18,0.3,10,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
1057,43,1232,Eating/drinking area,Prison_EatDrink,Indoor,"Seated areas where food or drink are consumed, e.g. canteen.",FALSE,150,FALSE,FALSE,FALSE,TRUE,TRUE,0.14,8,10,0,0,0,0,0,0,0.25,1,1,0.25,0,0.25,1,1,0.5,0,0,0.5,1,1,0.5,0,0,0,20,,,,24,130,25
1051,43,1233,Bathroom,Prison_Bath,Indoor,Bathroom,FALSE,150,FALSE,FALSE,FALSE,TRUE,TRUE,0.21,0,12,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0,20,,,,24,130,25
1063,43,1234,Light plant room,Prison_Plant,Indoor,Areas containing the main HVAC equipment for the building eg: boilers/air conditioning plant.,FALSE,200,FALSE,TRUE,FALSE,TRUE,TRUE,0.11,0,10,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,20,,,,24,130,25
1067,43,1235,Workshop - small scale,Prison_WkshpSS,Indoor,An area for sedentary-light practical work. Often containing some machinery.,FALSE,500,FALSE,TRUE,FALSE,TRUE,TRUE,0.05,0.42,10,0,0,0,0,0,0,0,0,0,0.75,1,1,0.75,0.75,1,1,1,0.75,0,0,0,0,0,0,20,,,,24,130,25
1060,43,1237,Laundry,Prison_Laund,Indoor,An area used only for washing and/or drying clothes using washing machines and/or tumble dryers.,FALSE,300,FALSE,FALSE,FALSE,TRUE,TRUE,0.09,0,12,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
1058,43,1238,Fitness suite/gym,Prison_FitGym,Indoor,An area used for excercise containing machines.,FALSE,150,FALSE,FALSE,FALSE,TRUE,TRUE,0.17,0,30,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,20,,,,24,130,25
1055,43,1239,Classroom,Prison_ClassRm,Indoor,"All teaching areas other than for practical classes with machinery, for which use ""Workshop - small scale"".",FALSE,300,FALSE,TRUE,FALSE,TRUE,TRUE,0.18,0.3,5,0,0,0,0,0,0,0,0.1,0.25,0.75,1,1,0.5,0.5,1,1,0.5,0.5,0,0,0,0,0,0,20,,,,24,130,25
1062,43,1240,Office and consulting areas,Prison_Office,Indoor,"Areas to perform management, office and administration work separated from standard customer/public areas. It can include internal corridors providing access to the office spaces, tea making facilities or kitchennetes within the office space and staff lou",FALSE,400,FALSE,TRUE,FALSE,TRUE,FALSE,0.09,0.82,10,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
1059,43,1241,Food preparation area,Prison_FoodPrep,Indoor,"Areas where food or drinks are prepared, e.g. kitchen in canteen.",FALSE,500,FALSE,FALSE,FALSE,TRUE,FALSE,0.11,0.2,25,0,0,0,0,0,0,0.25,1,1,0.25,0,0.25,1,1,0.5,0,0,0.5,1,1,0.5,0,0,0,20,,,,24,130,25
872,44,1242,Changing facilities with showers,C2_Schools_Changing,Toilets,"An area used for changing, containing showers. This activity should be assigned to the shower area and all associated changing areas.",FALSE,100,FALSE,FALSE,FALSE,TRUE,FALSE,0.14,69.72,10,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
873,44,1243,Circulation area (corridors and stairways),C2_Schools_Circulation,Indoor,"For all circulation areas such as corridors and stairways in the residential areas. For non residential areas, select the Circulation activity from building D1 Non-residential Institutions - Education",FALSE,100,FALSE,FALSE,FALSE,TRUE,FALSE,0.11,0,10,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
875,44,1244,Dry sports hall,C2_Schools_DrySptHall,Warehouse,An area where indoor sports can be played.,FALSE,300,FALSE,FALSE,FALSE,TRUE,FALSE,0.05,0,10,0,0,0,0,0,0,0,0.25,0.5,1,1,1,0.75,0.75,1,1,1,0.5,0.25,0,0,0,0,0,20,,,,24,130,25
