areaOfVerticalExternalSurface,areaRatioOfAdiabaticInternalPartitions,areaRatioOfDiabaticInternalPartitions,areaRatioOfVerticalExternalSurface,coolElectricEquivalentEfficiency,cooledAreaRatio,glazingConduction,heatElectricEquivalentEfficiency,heatedAreaRatio,hotWaterDemand,internalConduction,internalGainsCool,internalGainsHeat,irrVerticalCool,irrVerticalHeat,lpd,opaqueConduction,q50,roofWallRatio,solTrans,unconditionedAreaRatio,ventilatedAreaRatio,ventilationEnergyConsumption,wallToFloorRatio,windowToWallRatio,irr_north,irr_north_east,irr_east,irr_south_east,irr_south,irr_south_west,irr_west,irr_north_west,irr_horizontal,cool_irr_north,cool_irr_north_east,cool_irr_east,cool_irr_south_east,cool_irr_south,cool_irr_south_west,cool_irr_west,cool_irr_north_west,cool_irr_horizontal,BER,SER
48.96,0.582871992,0.347983279,0.069144729,2.315,0.640077569,22.50891,3.52062568,0.712863607,0.07936393,1.744467537,7.492725342,8.520344472,916.56813,921.8807725,10.00828801,1.602228199,9.05168342,0.825771325,3.2555,0.287136393,0.00E+00,123.0285572,0.210989011,0.200163399,0,0,0,0,162.6062133,0,0,0,759.2745592,0.00E+00,0.00E+00,0.00E+00,0.00E+00,176.5128361,0.00E+00,0.00E+00,0.00E+00,740.0552939,82.6193,56.3163
70.04,0.851159941,0.0621585,0.086681559,2.286,0.594585825,9.832972,3.08201693,0.668057294,0.071555185,0.351700458,7.696385318,9.693142358,921.7351368,927.1517014,21.51126408,1.401715359,10.05112097,0.754907793,2.55664,0.331942706,0.00E+00,92.7277889,0.324665091,0.150199886,0,0,0,0,148.8087816,0,0,0,778.3429199,0.00E+00,0.00E+00,0.00E+00,0.00E+00,162.9874361,0.00E+00,0.00E+00,0.00E+00,758.7477006,203.357,48.2891
179.82,0.87954815,0.01888732,0.10156453,2.499,0.971281482,19.934784,3.338703583,0.991672134,0.063850502,0.084775896,6.36626597,4.605269314,895.5877992,896.8858524,5.872826967,1.409059375,7.861295115,0.687855853,2.8832,0.008327866,0.00E+00,392.2482938,0.453792964,0.136914692,0,0,74.40854744,0,0,0,119.8704801,0,702.6068249,0.00E+00,0.00E+00,75.51727953,0.00E+00,0.00E+00,0.00E+00,121.6566223,0.00E+00,698.4138974,77.863,70.7382
518.13,0.360027645,0.135616318,0.504356037,2.279,0.672310568,9.36788051,2.90446239,0.699956655,0.057694579,0.240319334,7.816950885,6.704177272,884.5123362,876.8666267,1.560928687,1.262822629,9.262554435,0.535359423,2.126418006,0.300043345,0.00E+00,1001.864608,0.701825915,0.128075965,0,0,9.942086124,0,221.6821716,0,101.875528,0,543.3668409,0.00E+00,0.00E+00,0.00E+00,0.00E+00,226.179565,0.00E+00,103.9423353,0.00E+00,554.3904359,102.903,76.087
384.73,0.789024205,0.016559705,0.19441609,1.917,0.743231006,17.631,2.453601355,0.988816445,0.207807661,0.03334356,11.21653726,18.18901239,929.0627603,886.1966968,1.607711331,1.367416177,14.02498588,0.650645624,2.55,0.011183555,0.00E+00,674.2728852,0.435490809,0.019624152,0,0,80.80957033,0,0,0,155.5691324,0,649.8179941,0.00E+00,0.00E+00,31.14681415,0.00E+00,0.00E+00,0.00E+00,196.9449637,0.00E+00,700.9709825,97.2074,0
622.29,0.440879885,0.084810098,0.474310018,2.854,0.029599867,1095.333303,170.0899017,0.838805544,0.069421792,10.96632659,4.557575368,3.230403322,860.0043764,881.6857792,0.406851677,84.26018486,2.007423598,0.574796209,158.4198243,0.161194456,0.00E+00,1774.788335,0.739747034,0.019765704,0,0,75.57210316,0,27.56316745,0,148.0291863,0,630.5213222,0.00E+00,0.00E+00,0.00E+00,0.00E+00,264.1386972,0.00E+00,183.4502609,0.00E+00,412.4154183,107.17,82.9425
678.4,0.659236044,0.033514796,0.30724916,2.471,0.28963996,6.2605853,2.288909457,0.990930901,0.029530112,0.034818126,6.61487495,21.49244019,761.7288965,795.5706351,2.453423756,0.486063729,5.116554012,0.62649959,1.457794296,0.009069099,0.00E+00,1480.274843,0.596170239,0.016258844,19.42084055,0,97.32053287,0,56.98202667,0,0,0,621.8472351,59.57782156,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,702.1510749,87.7589,52.727
1995.42,0.469567796,0.098548353,0.431883851,2.343,0.02596559,5.496165195,1.851164383,0.92672841,0.82781735,0.09475063,7.110516308,28.78182912,510.4117647,861.8453514,0.522200296,0.994308781,14.47692308,0.709782841,1.34786538,0.07327159,0.00E+00,5920.553876,0.370352085,0.028535346,22.75059903,0,2.94195951,0,66.78508651,0,70.84320734,0,698.524499,126.9411765,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,383.4705882,71.6877,76.1048
52.58,0.79561436,0.082762768,0.121622872,2.506,0.838007191,10.236978,3.446342586,0.897431947,0.088169492,0.053038173,6.450518376,6.795998045,644,643.2377317,1.558341504,1.509284121,5.095920891,0.00E+00,2.61648,0.102568053,0.00E+00,219.6370505,0.270056497,0.304298212,0,0,0,162.8713195,0,0,0,480.3664122,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,644,0.00E+00,107.058,65.1222
49.18,0.876235865,0.050973891,0.072790243,2.279,0.658530934,9.476388,2.594063521,0.941144667,0.085539121,0.033917111,7.794404828,20.49227794,644,642.3322489,1.392191907,1.117801721,8.750389116,0.00E+00,2.42208,0.058855333,0.00E+00,390.8749795,0.189928169,0.35949573,0,0,0,356.3428223,0,0,0,285.9894266,0,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,644,0.00E+00,91.6112,60.5078
