areaOfVerticalExternalSurface,areaRatioOfAdiabaticInternalPartitions,areaRatioOfDiabaticInternalPartitions,areaRatioOfVerticalExternalSurface,ber,coolElectricEquivalentEfficiency,cool_irr_east,cool_irr_horizontal,cool_irr_north,cool_irr_north_east,cool_irr_north_west,cool_irr_south,cool_irr_south_east,cool_irr_south_west,cool_irr_west,cooledAreaRatio,glazingConduction,heatElectricEquivalentEfficiency,heatedAreaRatio,hotWaterDemand,internalConduction,internalGainsCool,internalGainsHeat,irrVerticalCool,irrVerticalHeat,irr_east,irr_horizontal,irr_north,irr_north_east,irr_north_west,irr_south,irr_south_east,irr_south_west,irr_west,lpd,opaqueConduction,q50,roofWallRatio,ser,solTrans,unconditionedAreaRatio,ventilatedAreaRatio,ventilationEnergyConsumption,wallToFloorRatio,windowToWallRatio
350.5,0.028407675,0.098180912,0.873411413,12.9286,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.217361111,0.8,0.020929976,0,1.330659631,0,59.375,0,875.2037037,0,326.8703704,0,0,0,0,0,0,548.3333333,0.499417794,1.617777778,31.25,0.607854106,4.05458,0.052777778,0.979070024,0.00E+00,0.428352883,0.645202857,0.082168331
0,0.555353902,0.444646098,0.00E+00,8.88858,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.8,0.02959014,0,1.555041322,0,59.375,0,866,0,866,0,0,0,0,0,0,0,0.39078914,0.36,31.25,1,4.05787,0,0.97040986,0.00E+00,0,0.00E+00,0
0.01,0,0,1,15.9607,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0,0.00E+00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.38352182,0,0,0.00E+00,5.09581,0,1,0.00E+00,0.00E+00,0.000575043,0.00E+00
405.39,0.157041359,0.117454409,0.725504233,16.5467,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.362116936,0.8,0.089635896,0.034842221,0.732453635,0,63.46750369,0,830.4966676,52.53318884,717.0954213,60.86805744,0,0,0,0,0,0,0.09324779,0.588210045,35.8639012,0.800769616,5.26635,0.058855149,0.910364104,0.00E+00,7.503120055,0.298190511,0.103603937
0,0.706319466,0.293680534,0.00E+00,18.9846,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.8,0.066003474,0.006999842,1.001657799,0,59.375,0,929,0,929,0,0,0,0,0,0,0,1.959822048,1.44,31.25,1,5.30403,0,0.933996526,0.00E+00,0,0.00E+00,0
0,0.705860806,0.294139194,0.00E+00,20.8403,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.8,0.106491845,0.287815798,0.810234234,0,86.11064189,0,929,0,929,0,0,0,0,0,0,0,3.012455867,2.24,31.25,1,5.34079,0,0.893508155,0.00E+00,3.112420467,0.00E+00,0
0,1,0.00E+00,0.00E+00,30.8358,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.8,1,0,0,0,45.15625,0,0,0,0,0,0,0,0,0,0,0,0.291919192,0.464,31.25,0,5.91866,0,0.00E+00,0.00E+00,0,0.00E+00,0
0,0.472883457,0.527116543,0.00E+00,11.9277,2.208,0,0,0,0,0,0,0,0,0,0.082700115,0,3.196,0.082700115,0.009495127,2.084538978,7.794449695,3.720232268,0,0,0,0,0,0,0,0,0,0,0,0.309944094,0.875466124,3.128911139,0,6.32947,0,0.917299885,0.00E+00,5.089836135,0.00E+00,0
0,1,0.00E+00,0.00E+00,18.9178,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,0.8,1,0,0.00E+00,0,59.375,0,0,0,0,0,0,0,0,0,0,0,0.500878125,0,18.75,0,6.43899,0,0.00E+00,0.00E+00,29.505,0.00E+00,0
0.01,0.99989373,0.00E+00,0.00010627,15.4929,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,1.746819444,1,0,0.00E+00,0,29.92272685,0,633,0,0,0,0,0,633,0,0,0,1.305974491,2.969593056,14.31172528,0.00E+00,6.66361,0,0.00E+00,0.00E+00,19.53,0.000768049,0.00E+00
0.01,0.999780123,0.00E+00,0.000219877,16.109,0,0,0,0,0,0,0,0,0,0,0.00E+00,0,1.746819444,1,0,0.00E+00,0,29.92272685,0,712,0,0,0,0,0,0,712,0,0,1.22923951,2.969593056,14.31172528,0.00E+00,6.66462,0,0.00E+00,0.00E+00,9.36,0.001602564,0.00E+00
782.99,0.150401487,0.160362527,0.689235986,10.8662,0,0,0,0,0,0,0,0,0,0,0.00E+00,0.132300248,0.961853511,0.089580276,0.028147018,1.164167604,0,51.61374647,0,757.9154711,105.5887709,467.4093191,18.82245814,0,0,130.3655666,0,0,35.72935637,0.439263434,2.658361591,26.46720115,0.880790432,6.72151,0.019550586,0.910419724,0.00E+00,4.137875197,0.417850949,0.514029553
